Time,V1,V2,V14,Amount,Class
0.0,-1.3598071336738,-0.0727811733098497,-0.311169353699879,149.62,0
0.0,1.19185711131486,0.26615071205963,-0.143772296441519,2.69,0
1.0,-1.35835406159823,-1.34016307473609,-0.165945922763554,378.66,0
1.0,-0.966271711572087,-0.185226008082898,-0.28792374549456,123.5,0
2.0,-1.15823309349523,0.877736754848451,-1.11966983471731,69.99,0
2.0,-0.425965884412454,0.960523044882985,-0.137133700217612,3.67,0
4.0,1.22965763450793,0.141003507049326,0.16737196252175,4.99,0
7.0,-0.644269442348146,1.41796354547385,-1.32386521970526,40.8,0
7.0,-0.89428608220282,0.286157196276544,0.0743553603016731,93.2,0
9.0,-0.33826175242575,1.11959337641566,-0.443522816876142,3.68,0
10.0,1.44904378114715,-1.17633882535966,-0.0950450453999549,7.8,0
10.0,0.38497821518095,0.616109459176472,0.362832368569793,9.99,0
10.0,1.249998742053,-1.22163680921816,-0.317630527025074,121.5,0
11.0,1.0693735878819,0.287722129331455,-0.178485175177916,27.5,0
12.0,-2.7918547659339,-0.327770756658658,-0.734975105820311,58.8,0
12.0,-0.752417042956605,0.345485415344747,-1.06660368148653,15.99,0
12.0,1.10321543528383,-0.0402962145973447,-0.468647287707221,12.99,0
13.0,-0.436905071360625,0.918966212909322,-0.291896460370468,0.89,0
14.0,-5.40125766315825,-5.45014783420644,-0.479129929276704,46.8,0
15.0,1.4929359769862,-1.02934573189487,0.0520105153724404,5.0,0
16.0,0.694884775607337,-1.36181910308009,-0.372650997239682,231.71,0
17.0,0.962496069914852,0.32846102605212,0.98373941913199,34.09,0
18.0,1.16661638244228,0.502120087854101,1.12687010488156,2.28,0
18.0,0.247491127783665,0.277665627353681,0.0813930875646215,22.75,0
22.0,-1.94652513121534,-0.0449005054418194,0.0338977566837455,0.89,0
22.0,-2.0742946722629,-0.121481799450951,-0.27979685563853,26.43,0
23.0,1.17328461017079,0.353497876646456,0.101417525935881,41.88,0
