id,value,category
1,0.06693021049632546,C
2,1.6627091663660138,C
3,1.3542129699286798,A
4,-0.5589666051966249,B
5,1.7229042537713783,A
6,0.7459401342149632,C
7,-0.9216480376410597,C
8,0.37710586105858446,A
9,-0.6873751321161495,B
10,-1.3347554809555424,C
11,-1.1534150916999133,A
12,0.09089467880480401,C
13,0.08195270606623481,A
14,-1.3871457479192884,B
15,-1.0840752821184463,B
16,1.1478525565403714,C
17,0.10897388591282142,C
18,0.33693193195480753,A
19,-1.4484443839181087,B
20,-0.9945454128826929,B
21,0.5991455151071454,A
22,0.7811330053115599,B
23,1.366685405715065,A
24,1.1664237162955802,B
25,-0.8476459281558912,C
26,2.1279224246511252,A
27,0.22267456620447604,C
28,-0.9645788914882812,C
29,1.5438391817392658,B
30,-0.5275590878133,C
31,-0.6252496961739514,C
32,-1.29612740888642,C
33,0.3571212747001838,A
34,-1.5694848237027879,B
35,-0.2749730987374147,C
36,-2.007720476415443,B
37,-0.8506870103001279,A
38,-0.6892844951284175,B
39,0.5294083060347335,A
40,-1.0998628389693408,B
41,0.5570705168020647,B
42,0.16080349527698534,C
43,0.21520617507422718,C
44,-1.236072871554988,C
45,-0.7286246354848189,C
46,-0.5847690058260135,C
47,0.725694371840556,B
48,-1.8514235129047132,B
49,0.9998572982990833,A
50,-0.5543261373568349,B
51,-0.4098022249107871,C
52,2.5159249982565504,C
53,1.0989724899358841,B
54,-1.2407616627474312,B
55,-2.1231461494405743,A
56,1.2133012041550366,A
57,0.1416529696398366,B
58,-0.2896694930762172,A
59,0.7026655643599548,C
60,1.7061535695288434,C
61,1.8773240394313018,B
62,-0.189889578841057,B
63,0.6709378489309257,C
64,-0.22984317192676387,C
65,1.024627456770122,C
66,1.7177745485274223,B
67,1.0095997621924777,C
68,0.9233587741604303,C
69,-0.1402295524025394,B
70,1.5303115949053328,B
71,0.02102821793497978,B
72,0.02291588444353866,B
73,0.36450331282549586,B
74,1.2271531172182966,B
75,-0.7642073531357887,A
76,-0.16188852238440185,C
77,0.5676855251376635,A
78,-1.6279344426459488,B
